sid,run,template,seed,outcome,contact,impact_speed_ms,ttc_min_s,min_clearance_m,speed_at_crit_ms,ego_vmax_ms,t_crit_s,n_steps
49,3,lead_stopped,20309809,completed,0,0.0,0.5955,1.1095,3.0892,4.1737,9.1,801
49,4,lead_stopped,20309810,completed,0,0.0,0.8115,1.828,3.3155,4.1921,8.85,801
50,0,lead_stopped,20310806,completed,0,0.0,0.546,0.9788,3.2338,4.1967,15.4,801
50,1,lead_stopped,20310807,completed,0,0.0,0.5953,1.1573,3.2665,4.21,15.5,801
50,2,lead_stopped,20310808,completed,0,0.0,0.6034,1.1955,3.3432,4.234,15.4,801
50,3,lead_stopped,20310809,completed,0,0.0,0.6755,1.4207,3.4487,4.2349,15.3,801
50,4,lead_stopped,20310810,completed,0,0.0,0.5774,1.067,3.0648,4.1882,15.5,801
51,0,lead_stopped,20311806,completed,0,0.0,0.5607,1.0193,3.0396,4.1914,4.6,801
51,1,lead_stopped,20311807,completed,0,0.0,0.7512,1.5711,3.2164,4.1822,4.5,801
51,2,lead_stopped,20311808,completed,0,0.0,0.6478,1.3224,3.3606,4.1816,4.35,801
51,3,lead_stopped,20311809,completed,0,0.0,0.5843,1.0863,3.2612,4.1494,4.6,801
51,4,lead_stopped,20311810,completed,0,0.0,0.7042,1.5136,3.6026,4.1464,4.3,801
52,0,lead_stopped,20312806,completed,0,0.0,0.6538,1.3328,3.2677,4.181,14.6,801
52,1,lead_stopped,20312807,completed,0,0.0,0.5641,1.0543,3.391,4.2101,14.65,801
52,2,lead_stopped,20312808,completed,0,0.0,0.7324,1.5913,3.5067,4.1824,14.45,801
52,3,lead_stopped,20312809,completed,0,0.0,0.753,1.5814,3.0968,4.197,14.45,801
52,4,lead_stopped,20312810,completed,0,0.0,0.6467,1.3275,3.4279,4.2101,14.6,801
53,0,lead_stopped,20313806,completed,0,0.0,0.6573,1.3112,3.2964,4.1806,5.35,801
53,1,lead_stopped,20313807,completed,0,0.0,0.7478,1.5729,3.2577,4.1653,5.3,801
53,2,lead_stopped,20313808,completed,0,0.0,0.6628,1.3335,3.3189,4.1706,5.35,801
53,3,lead_stopped,20313809,completed,0,0.0,0.6584,1.3167,3.2917,4.1811,5.35,801
